quantile,calibration_period,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,spill_kwh
0.5,2025-02-01至2025-06-30,4972080.524833258,3676282.434187492,8648362.95902075,614312.2800649876,1053176.860044515
0.55,2025-02-01至2025-06-30,5078376.122588373,3219897.240003413,8298273.362591786,538090.217860821,1141556.068416497
0.6,2025-02-01至2025-06-30,5185999.388211229,2806837.15379304,7992836.542004269,469805.4224708,1241653.090494332
0.65,2025-02-01至2025-06-30,5300039.864725864,2460612.634867751,7760652.499593615,412444.99452867475,1364231.5651371016
0.7,2025-02-01至2025-06-30,5425441.305520654,2166341.6604055758,7591782.96592623,363138.72532032995,1512192.4583826005
0.75,2025-02-01至2025-06-30,5581190.015739456,1906504.5930550324,7487694.608794488,318683.1043742535,1711863.399550407
0.8,2025-02-01至2025-06-30,5775372.692864287,1628386.726750416,7403759.419614702,270993.4782841017,1966457.3194864702
0.85,2025-02-01至2025-06-30,6051199.767513636,1298062.4041615755,7349262.171675211,212944.2785349088,2323853.939300108
0.9,2025-02-01至2025-06-30,6831937.177787245,524744.4461547685,7356681.623942014,85199.54184172991,3220907.9818148874
0.95,2025-02-01至2025-06-30,7332803.687120507,183547.5903059351,7516351.277426441,29896.607894816665,3891567.117359867
